lime	Lime	fruit	Openverse	cc0	https://www.flickr.com/photos/62295966@N07/14860153811	Lime fruit: Spider mites feeding injury
lingonberry	Lingonberry	fruit	Openverse	by	https://www.flickr.com/photos/46563758@N04/14945923753	Finnish lingonberry 4 Eur/L
pumpkin	Pumpkin	fruit	Openverse	by	https://commons.wikimedia.org/w/index.php?curid=126476762	Seminole pumpkin fruit
artichoke	Artichoke	vegetable	Openverse	cc0	https://www.rawpixel.com/image/6041616/photo-image-public-domain-plant-food	Artichoke vegetable, edible plant
asparagus	Asparagus	vegetable	Openverse	cc0	https://stocksnap.io/photo/asparagus-vegetables-DT9B5R5R19	Asparagus Vegetables
broccoli	Broccoli	vegetable	Openverse	by	https://www.flickr.com/photos/159630537@N08/42989022392	Green Broccoli Vegetable on Brown Wooden Table - Credit to http://homedust.com/
brussels_sprout	Brussels Sprout	vegetable	Openverse	by	https://www.flickr.com/photos/8489692@N03/15409988390	roasted brussel sprouts.....#vegetable #brusselsprouts
cabbage	Cabbage	vegetable	Openverse	cc0	https://www.rawpixel.com/image/6018823/cabbage-vegetable-free-public-domain-cc0-photo	Cabbage vegetable
celery	Celery	vegetable	Openverse	by-sa	https://www.flickr.com/photos/34067077@N00/2488644619	Vegetables
garlic	Garlic	vegetable	Openverse	cc0	https://stocksnap.io/photo/garlic-vegetable-HBFUJ9FCTZ	Garlic Vegetable
kale	Kale	vegetable	Openverse	cc0	https://stocksnap.io/photo/kale-vegetables-D2AF587E86	Kale Vegetables
leek	Leek	vegetable	Openverse	cc0	https://www.rawpixel.com/image/6763143/png-sticker-public-domain	Leek vegetables png sticker, transparent
lettuce	Lettuce	vegetable	Openverse	by	https://www.flickr.com/photos/62558987@N07/51345834751	Adams Acres - Microgreens, Head lettuce, Vegetables
mushroom	Mushroom	vegetable	Openverse	cc0	https://stocksnap.io/photo/mushrooms-vegetables-J6O7SG69BZ	Mushrooms Vegetables
parsnip	Parsnip	vegetable	Openverse	by-sa	https://www.flickr.com/photos/82439748@N00/558723935	Root vegetables
peas	Peas	vegetable	Openverse	by-sa	https://www.flickr.com/photos/92766653@N07/8807703692	Asian Flat Iron Steak, Wasabi Mashed Potatoes, Sugar Snap Pea Vegetable Blend
radish	Radish	vegetable	Openverse	cc0	https://stocksnap.io/photo/radish-vegetables-AYSFS91ZMX	Radish Vegetables
spinach	Spinach	vegetable	Openverse	by	https://www.flickr.com/photos/92269745@N00/6928717092	Vegetable Plate
artichoke	Artichoke	vegetable	Openverse	by	https://www.flickr.com/photos/53133240@N00/5864606460	artichokes
cabbage	Cabbage	vegetable	Openverse	by-sa	https://commons.wikimedia.org/w/index.php?curid=129063209	Cabbage vegetables
